## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-2   |20230225|q23056      | 56|07:30| 1:00|IsWz -Mk                                 |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230226|q23057      | 57|07:30| 1:00|IsWz -Mk                                 |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230227|z23058      | 58|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230227|q23058      | 58|07:00| 1:00|IsWz -NsNy                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230227|i23058      | 58|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230227|v23058      | 58|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230227|ii3058      | 58|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|VGOS-INT-Y  |20230228|y23059      | 59|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|IVS-INT-1   |20230228|i23059      | 59|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230228|v23059      | 59|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-1   |20230301|i23060      | 60|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230301|v23060      | 60|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230302|i23061      | 61|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230302|v23061      | 61|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230302|ii3061      | 61|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230303|i23062      | 62|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230303|v23062      | 62|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230304|q23063      | 63|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230305|q23064      | 64|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230306|z23065      | 65|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230306|q23065      | 65|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230306|i23065      | 65|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230306|v23065      | 65|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230306|ii3065      | 65|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|VGOS-INT-Y  |20230307|y23066      | 66|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230307|y3066a      | 66|15:15| 0:06|GsSaYj                                   |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230307|i23066      | 66|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230307|v23066      | 66|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230309|i23068      | 68|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230309|v23068      | 68|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230309|ii3068      | 68|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230310|i23069      | 69|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230310|v23069      | 69|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230311|q23070      | 70|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230312|q23071      | 71|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230313|z23072      | 72|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-1   |20230313|i23072      | 72|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230313|v23072      | 72|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230313|ii3072      | 72|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|VGOS-INT-Y  |20230314|y23073      | 73|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230314|y3073a      | 73|15:15| 0:06|GsSaYj                                   |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230314|i23073      | 73|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230314|v23073      | 73|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230315|i23074      | 74|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230315|v23074      | 74|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230315|ii3074      | 74|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230316|i23075      | 75|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230316|v23075      | 75|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
