## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR                         STATIONS                        SKED CORR  STATUS  DBC  SUBM DEL
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                                  yyyymmdd CODE      days
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-RD      |20230705|rd2306      |186|18:00|24:00|FtHhKkKmMaOnWz                                        |OSO |SHAO|        | XA |NASA|-126|
|VGOS-RD     |20230705|vr2303      |186|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |DACH|HAYS|        | VG |NASA|-126|
|IVS-R4      |20230706|r41110      |187|18:30|24:00|BdFtHbHtKeKkNnZc                                      |USNO|WASH|        | XE |USNO|-127|
|IVS-R1      |20230710|r11111      |191|17:00|24:00|BdFtHbHtKeKvMaNnNtSvZc                                |NASA|BONN|        | XA |NASA|-131|
|VGOS-24INT-S|20230710|s22411      |191|17:00|24:00|MgWs                                                  |DACH|WETZ|        | VJ |NASA|-131|
|IVS-CRF     |20230711|crf135      |192|17:30|24:00|HhKmMaNtYs                                            |DACH|SHAO|        | XN |USNO|-132|
|VGOS-OPS    |20230713|vo3194      |194|18:00|24:00|GsIsK2KeMgNnWfWsYj                                    |NASA|SHAO|        | VG |NASA|-134|
|IVS-R4      |20230713|r41111      |194|18:30|24:00|BdFtHbHtKkZc                                          |USNO|WASH|        | XE |USNO|-134|
|IVS-R1      |20230717|r11112      |198|17:00|24:00|AgBdFtHbHtKeKkKvNnNsNtSvWzZc                          |NASA|BONN|        | XA |NASA|-138|
|AOV         |20230718|aov085      |199|17:30|24:00|HbIsKeKgKvShUrVmWwYg                                  |GSI |GSI |        | XA |NASA|-139|
|IVS-CRF-DS  |20230719|crd125      |200|18:00|24:00|AgHhHoOhWw                                            |DACH|WASH|        | XN |USNO|-140|
|VGOS-OPS    |20230720|vo3201      |201|18:00|24:00|GsHbIsK2MgNnWfWsYj                                    |NASA|WETZ|        | VG |NASA|-141|
|IVS-R4      |20230720|r41112      |201|18:30|24:00|BdFtHtKeKkMaNsSvZc                                    |USNO|WASH|        | XE |USNO|-141|
|IVS-R1      |20230724|r11113      |205|17:00|24:00|BdFtHbHtKeKkKvNnNsNtSvWzZc                            |NASA|BONN|        | XA |NASA|-145|
|AUS-AST     |20230725|aua102      |206|17:30|24:00|HbHoHtKeWwYg                                          |DACH|UTAS|        | XA |NASA|-146|
|IVS-OHIG    |20230726|ohg144      |207|18:00|24:00|AgFtHoHtKkOhSyWw                                      |DACH|BONN|        | XA |BKG |-147|
|VGOS-OPS    |20230726|vo3207      |207|18:00|24:00|GsHbIsK2KeMgNnWfWsYj                                  |NASA|VIEN|        | VG |NASA|-147|
|IVS-R4      |20230727|r41113      |208|18:30|24:00|BdFtHbHtKeKkNnNsZc                                    |USNO|WASH|        | XE |USNO|-148|
|IVS-R1      |20230731|r11114      |212|17:00|24:00|AgBdFtHbHtKeKkKvNnNsNtSvWzZc                          |NASA|BONN|        | XA |NASA|-152|
--------------------------------------------------------------------------------------------------------------------------------------------
|AOV         |20230801|aov086      |213|17:30|24:00|HbIsKeKgT6UrWwYg                                      |SHAO|SHAO|        | XA |NASA|-153|
|AUS-AST     |20230802|aua103      |214|18:00|24:00|HbHoHtKeWwYg                                          |DACH|UTAS|        | XA |NASA|-154|
|VGOS-OPS    |20230803|vo3215      |215|18:00|24:00|GsIsK2KeMgNnWfWsYj                                    |NASA|WASH|        | VG |NASA|-155|
|IVS-R4      |20230803|r41114      |215|18:30|24:00|BdFtHbHtKkMaNsZc                                      |USNO|WASH|        | XE |USNO|-155|
|IVS-CRF-DS  |20230807|crd126      |219|13:30|24:00|HhHoOhWw                                              |DACH|WASH|        | XN |USNO|-159|
|IVS-R1      |20230807|r11115      |219|17:00|24:00|AgFtHbHtKeKkMaNnNsNtOnShWz                            |NASA|BONN|        | XA |NASA|-159|
|VGOS-OPS    |20230810|vo3222      |222|18:00|24:00|GsHbIsK2MgNnOeOwWfWsYj                                |NASA|HAYS|        | VG |NASA|-162|
